sequence,level,property_type,identifier,class_term,property_term,multiplicity,representation_term,domain_name,associated_class,definition,module,table,id
544,2,Attribute,PK,JP Purchase Invoice Line.JP Invoice Line,ID,1..1,Identifier,Identifier Medium,,The unique identifier for a line within an invoice.,JP,0,JP12_JP10_GE12_01
545,2,Attribute,,JP Purchase Invoice Line.JP Invoice Line,Number,0..1,Char,Char Short,,The number for a particular line of an invoice.,JP,0,JP12_JP10_GE12_02
546,2,Attribute,,JP Purchase Invoice Line.JP Invoice Line,Grouping Code,0..1,Char,Char Long,,The code that consolidates related line items within an invoice for batch processing or organizational purposes within an ERP system.,JP,0,JP12_JP10_GE12_03
547,2,Composition,,JP Purchase Invoice Line.JP Invoice Line,Tax Exclude,0..1,,,Amount,"The monetary amount of an invoice line item before tax inclusion, recorded in the transaction currency.",JP,0,JP12_JP10_GE12_04
548,2,Composition,,JP Purchase Invoice Line.JP Invoice Line,Tax Exclude Unit Price,0..1,,,Amount,"The unit price of an invoice line item before tax, recorded in the transaction currency.",JP,0,JP12_JP10_GE12_05
549,2,Composition,,JP Purchase Invoice Line.JP Invoice Line,Tax Include,0..1,,,Amount,"The monetary amount of an invoice line item with tax included, recorded in the transaction currency.",JP,0,JP12_JP10_GE12_06
550,2,Composition,,JP Purchase Invoice Line.JP Invoice Line,Tax Include Unit Price,0..1,,,Amount,"The unit price for an invoice line item with tax, recorded in the transaction currency.",JP,0,JP12_JP10_GE12_07
552,2,Composition,,JP Purchase Invoice Line.JP Invoice Line,Basic UOM,0..1,,,Quantity,The quantity of items on an invoice line as measured by the basic unit of measure.,JP,0,JP12_JP10_GE12_09
553,2,Composition,,JP Purchase Invoice Line.JP Invoice Line,Invoice,0..1,,,Quantity,The quantity of items listed on an invoice line.,JP,0,JP12_JP10_GE12_10
555,2,Reference Association,,JP Purchase Invoice Line.JP Invoice Line,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,JP,0,JP12_JP10_GE12_12
557,2,Reference Association,,JP Purchase Invoice Line.JP Invoice Line,Credit,0..1,,,Ledger Account,The ledger account associated with credit transactions on invoice lines.,JP,0,JP12_JP10_GE12_14
558,2,Reference Association,,JP Purchase Invoice Line.JP Invoice Line,Debit,0..1,,,Ledger Account,The ledger account associated with debit transactions on inThe ledger account that is part of a subsidiary grouping within an account hierarchy.voice lines.,JP,0,JP12_JP10_GE12_15
60.5,2,Attribute,,JP Purchase Invoice Line.JP Invoice Line,Quantity Per Package,0..1,Integer,,,"The number of individual items in the Basic UOM (smallest unit, e.g., ""PC"" for pencil) contained within a larger unit as specified in the Line UOM (such as dozens, cartons, or other packaging formats).",JP,0,JP12_JP10_01
64,2,Composition,,JP Purchase Invoice Line.JP Invoice Line,Tax Exclude Local,0..1,,,Amount,"The monetary amount of an invoice line item before tax inclusion, recorded in the local currency.",JP,0,JP12_JP10_05
65,2,Composition,,JP Purchase Invoice Line.JP Invoice Line,Tax Exclude Unit Price Local,0..1,,,Amount,"The unit price of an invoice line item before tax, recorded in  in the local currency.",JP,0,JP12_JP10_06
66,2,Composition,,JP Purchase Invoice Line.JP Invoice Line,Tax Include Local,0..1,,,Amount,"The monetary amount of an invoice line item with tax included, recorded in  in the local currency.",JP,0,JP12_JP10_07
67,2,Composition,,JP Purchase Invoice Line.JP Invoice Line,Tax Include Unit Price Local,0..1,,,Amount,"The unit price for an invoice line item with tax, recorded in  in the local currency.",JP,0,JP12_JP10_08
68,2,Composition,,JP Purchase Invoice Line.JP Invoice Line,,0..1,,,JP Product,The inventory product detailed in an invoice line item.,JP,0,JP12_JP10_09
69,2,Composition,,JP Purchase Invoice Line.JP Invoice Line,,0..1,,,Consumption Tax Line,Consumption Tax Line information.,JP,0,JP12_JP10_10
76,2,Reference Association,,JP Purchase Invoice Line,Purchase,0..1,,,Measurement Unit,The unit of measure for the quantity of an inventory product specified on a purchase invoice line.,JP,0,JP12_01
77,2,Reference Association,,JP Purchase Invoice Line,,0..1,,,Purchase Order,"The class capturing purchase orders placed during the period under review, serving as a control point in the three-way matching process for accounts payable, ensuring orders are matched with invoices and received goods.",JP,0,JP12_02
78,2,Reference Association,,JP Purchase Invoice Line,,0..1,,,Purchase Order Line,"The class containing details of each purchase order line placed during the period under review, fundamental for the three-way matching process that compares these details against invoices and goods receipt documentation.",JP,0,JP12_03
79,1,Class,,JP Sales Invoice,,,,,,Contains the summery information for the sales invoices. JP extension for consumption tax subtotal by tax category for consumption tax.,JP,0,JP13
524,2,Attribute,PK,JP Sales Invoice.JP Invoice,ID,1..1,Identifier,Identifier Medium,,The unique identifier for an invoice.,JP,0,JP13_JP09_GE11_01
525,2,Attribute,,JP Sales Invoice.JP Invoice,Number,0..1,Char,Char Long,,The number for an invoice.,JP,0,JP13_JP09_GE11_02
526,2,Attribute,,JP Sales Invoice.JP Invoice,Official Invoice Code,0..1,Char,Char Short,,The identifier for an invoice that is assigned by tax authorities.,JP,0,JP13_JP09_GE11_03
527,2,Attribute,,JP Sales Invoice.JP Invoice,Type Name,0..1,Name,Name Short,,The descriptor that categorizes the nature of an invoice.,JP,0,JP13_JP09_GE11_04
528,2,Attribute,,JP Sales Invoice.JP Invoice,Date,0..1,Date,DATE,,The official date recorded on an invoice which initiates the calculation period for payment due.,JP,0,JP13_JP09_GE11_05
529,2,Attribute,,JP Sales Invoice.JP Invoice,Due Date,0..1,Date,DATE,,The date by which payment for an invoice is required.,JP,0,JP13_JP09_GE11_06
530,2,Attribute,,JP Sales Invoice.JP Invoice,Terms Discount Percentage,0..1,Decimal,Percent,,The percentage of discount offered by a supplier when payment is made within the specified discount days.,JP,0,JP13_JP09_GE11_07
531,2,Attribute,,JP Sales Invoice.JP Invoice,Terms Discount Days,0..1,Integer,INTEGER,,The number of days from the invoice date that the customer is eligible for the discount if payment is made.,JP,0,JP13_JP09_GE11_08
532,2,Attribute,,JP Sales Invoice.JP Invoice,Terms Due Days,0..1,Integer,INTEGER,,The standard time period in days before a customer's payment is considered overdue.,JP,0,JP13_JP09_GE11_09
533,2,Attribute,,JP Sales Invoice.JP Invoice,Grouping Code,0..1,Char,Char Long,,The code that aggregates related invoices for consolidated processing or organizational purposes within an ERP system.,JP,0,JP13_JP09_GE11_10
534,2,Attribute,,JP Sales Invoice.JP Invoice,Status,0..1,Code,STATUS CODE,,The current state of the invoice's lifecycle.,JP,0,JP13_JP09_GE11_11
535,2,Attribute,,JP Sales Invoice.JP Invoice,Remark,0..1,Text,Text Medium,,Annotations or supplemental information for an invoice.,JP,0,JP13_JP09_GE11_12
536,2,Composition,,JP Sales Invoice.JP Invoice,,0..1,,,Activities,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",JP,0,JP13_JP09_GE11_13
539,2,Reference Association,,JP Sales Invoice.JP Invoice,,0..1,,,Accounting Period,"A specific duration within a fiscal year, delineated by its beginning and ending dates. It serves as the timeframe during which business transactions and entries are accumulated and organized into financial statements and reports.",JP,0,JP13_JP09_GE11_16
540,2,Reference Association,,JP Sales Invoice.JP Invoice,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,JP,0,JP13_JP09_GE11_17
541,2,Reference Association,,JP Sales Invoice.JP Invoice,,0..1,,,Payment Term,"A class details conditions related to sales or purchase agreements, including payment instruments, credit periods, and discount terms.",JP,0,JP13_JP09_GE11_18
542,2,Reference Association,,JP Sales Invoice.JP Invoice,,0..1,,,Settlement Method,"A class describing various methodologies adopted by the business to settle transactions, which can range from cash payments to bank transfers.",JP,0,JP13_JP09_GE11_19
56,2,Composition,,JP Sales Invoice.JP Invoice,,0..1,,,Amounts,Supporting multicurrency monetary amounts.,JP,0,JP13_JP09_03
57,2,Composition,,JP Sales Invoice.JP Invoice,,0..*,,,Consumption Tax Subtotal,Add Consumption Tax Subtotal by Tax Category information.,JP,0,JP13_JP09_04
58,2,Composition,,JP Sales Invoice.JP Invoice,Settlement Organization,0..1,,,Business Segment,ADC lacks this necessary information for settlement organization.,JP,0,JP13_JP09_05
81,2,Composition,,JP Sales Invoice,,1,,,Customer,Required to specify customer for this sales order.,JP,0,JP13_01
82,2,Composition,,JP Sales Invoice,,0..*,,,JP Sales Invoice Line,Line information of the sales invoice.,JP,0,JP13_02
83,1,Class,,JP Sales Invoice Line,,,,,,Contains line item details for the sales invoices. JP extension for the consumption tax.,JP,0,JP14
544,2,Attribute,PK,JP Sales Invoice Line.JP Invoice Line,ID,1..1,Identifier,Identifier Medium,,The unique identifier for a line within an invoice.,JP,0,JP14_JP10_GE12_01
545,2,Attribute,,JP Sales Invoice Line.JP Invoice Line,Number,0..1,Char,Char Short,,The number for a particular line of an invoice.,JP,0,JP14_JP10_GE12_02
546,2,Attribute,,JP Sales Invoice Line.JP Invoice Line,Grouping Code,0..1,Char,Char Long,,The code that consolidates related line items within an invoice for batch processing or organizational purposes within an ERP system.,JP,0,JP14_JP10_GE12_03
547,2,Composition,,JP Sales Invoice Line.JP Invoice Line,Tax Exclude,0..1,,,Amount,"The monetary amount of an invoice line item before tax inclusion, recorded in the transaction currency.",JP,0,JP14_JP10_GE12_04
548,2,Composition,,JP Sales Invoice Line.JP Invoice Line,Tax Exclude Unit Price,0..1,,,Amount,"The unit price of an invoice line item before tax, recorded in the transaction currency.",JP,0,JP14_JP10_GE12_05
549,2,Composition,,JP Sales Invoice Line.JP Invoice Line,Tax Include,0..1,,,Amount,"The monetary amount of an invoice line item with tax included, recorded in the transaction currency.",JP,0,JP14_JP10_GE12_06
