seq,level,Property type,Identifier,Class,Property Term,BaseType,Associated Class,Multiplicity,Documentation,module,LocalLabel,LocalDocumentation
103,2,Attribute,,Reporting Calendar,Type Code,Token,,0..1,"A code for the type of period involved. Enumerated as: monthly, quarterly, semi-annually, 4-5-4, ad-hoc, other.",bus,期間種別コード,"報告期間の種別コード。月次、四半期ごと、半期ごと、4-5-4、随時、その他
[設定値のリスト]
(monthly：月次)、(quarterly：四半期ごと)、(semi-annually：半期ごと)、(4-5-4：4-5-4)、(ad-hoc：随時)、(other：その他)"
104,2,Attribute,,Reporting Calendar,Type Code Description,String,,0..1,A description of the type of period involved.,bus,期間種別説明,報告期間の種別の説明。
105,2,Attribute,,Reporting Calendar,Closed Status,Token,,0..1,"An identifier on whether the reporting calendar is still open for activity. enumerated, ""open"", ""closed"", ""pending""",bus,締状態,"報告カレンダーがオープンかどうかを示す識別子。オープン、締切り済み、保留中
[設定値のリスト]
(open：オープン)、(closed：締切り済み)、(pending：保留中)"
106,2,Attribute,,Reporting Calendar,Purpose,Token,,0..1,A description of the accounting set of books involved. Uses enumeration from accounting method purpose.,bus,報告目的,"帳簿の集合の説明。会計処理方法の目的の列挙値を使用する。
[設定値のリスト]
(book：帳簿)、(tax：税)、(management：管理)、(statutory：スタチュトリ)、(other：その他)"
107,2,Attribute,,Reporting Calendar,Purpose Description,String,,0..1,Free format description of the reporting purpose,bus,報告目的説明,報告目的の説明。
108,2,Composition,,Reporting Calendar,,,Reporting Calendar_ Period,0..*,A tool to collect a specific set of periods used to summarize results from transactions.,bus,【報告カレンダー期間】,取引の結果をまとめるための特定の期間を集めるもの。
109,1,Class,,Authority Registered Identifier,,,,0..*,Class representing an identifier that is registered with and issued or recognised by an external authority. It provides information about the authority responsible for the registration and verification of the identifier.,cor,【外部機関登録識別子】,外部機関に登録され、当該機関によって発行または認証される識別子を表すクラス。識別子の登録・認証を行う外部機関に関する情報も提供する。
110,2,Attribute,PK,Authority Registered Identifier,Authority Registered ID,String,,0..1,"Identifier of the registered authority identifier record within this report, used to uniquely identify and reference the instance.",cor,外部機関登録識別子ID,外部機関に登録識別子のレコードを一意に識別するためのID。
111,2,Attribute,,Authority Registered Identifier,Authority Registered Name,String,,0..1,Name or descriptive label of the identifier as registered with the authority.,cor,外部機関登録識別子名称,外部機関登録識別子に識別するためのID。
112,2,Attribute,PK,Authority Registered Identifier,Authority Code,String,,0..1,Code identifying the external authority with which the identifier is registered.,cor,外部機関コード,当該識別子が登録されている外部機関を識別するコード。（例：税務当局コード）。
113,2,Attribute,,Authority Registered Identifier,Authority Name,String,,0..1,Name of the external authority responsible for registering or verifying the identifier.,cor,外部機関名,識別子の登録または認証を行う外部機関の名称。（たとえば、税務署）
114,2,Attribute,,Authority Registered Identifier,Authority Verification Date,Date Time,,0..1,Date on which the external authority last verified or confirmed the registered identifier.,cor,外部機関認証日付,外部機関が当該登録識別子を最後に認証または確認した日付。
115,1,Abstract Class,,Identifier Reference,,,,0..*,"Identification for customer, vendor, or employee.",cor,【CVE情報】,顧客、仕入先、従業員のための識別子。
116,2,Attribute,PK,Identifier Reference,Type,Token,,0..1,"Entity type (enumerated): C, customer, E, employee, V, vendor, O, other, I, salesperson-internal, X, salesperson-external, N, contractor.",cor,CVE種別,"実体の種別。 [設定値のリスト] (C)、(customer：顧客)、(E)、(employee：従業員)、(V)、(vendor：仕入先)、(O)、(other：その他)、(I)、(salesperson-internal：店舗内販売員)、(X)、(salesperson-external：外交販売員)、(N)、(contractor：請負者)"
117,2,Attribute,PK,Identifier Reference, Code,String,,0..1,Internal ID Number associated with identifierReference,cor,CVE識別番号（内部）,CVE情報に関係付けられた、内部ID番号。
118,2,Attribute,,Identifier Reference,Organization Type,Token,,0..1,"Identifier Organization Type. Enumerated as: individual, organization, other.",cor,CVE組織種別,"CVE識別子の組織種別。
[設定値のリスト]
(individual：個人)、(organization：組織)、(other：その他)"
119,2,Attribute,,Identifier Reference,Organization Type Description,String,,0..1,Free format description of the identifier organization type,cor,CVE組織種別説明,CVE識別子の組織種別の説明。
120,2,Attribute,,Identifier Reference,Purpose,String,,0..1,"Freeform for codes like purchasing, billing, manufacturing at identifier level.",cor,CVE目的,購買、請求、製造などの、CVE識別子のレベルのコードの自由記述。
121,2,Attribute,,Identifier Reference,Description,String,,0..1,Textual description of identifierReference.,cor,CVE説明,CVE情報の説明。
122,2,Attribute,,Identifier Reference,Category,String,,0..1,"For use as Customer, Vendor or Employee Class (such as Residential/Commercial/Institutional/Government or Retail/Wholesale or other classifications used by business).",cor,CVEカテゴリ,顧客、仕入先、従業員の分類に使用する。　（住居/商業/機関/政府や、小売/卸や、ビジネスで使用されるその他の分類）。
123,2,Attribute,,Identifier Reference,Active,Boolean,,0..1,"Boolean to indicate whether the identifier is active (=""true"") or inactive (=""false"")",cor,CVE有効性,CVE識別子が有効か無効かを示すブール値。
124,2,Reference Association,,Identifier Reference,,,Authority Registered Identifier,0..1,Class representing an identifier that is registered with and issued or recognised by an external authority. It provides information about the authority responsible for the registration and verification of the identifier.,cor,【外部機関登録識別子】,外部機関に登録され、当該機関によって発行または認証される識別子を表すクラス。識別子の登録・認証を行う外部機関に関する情報も提供する。
