seq,level,Property type,Identifier,Class,Property Term,BaseType,Associated Class,Multiplicity,Documentation,module,Element,LocalLabel,LocalDocumentation
403,2,Attribute,,Entry,Batch ID for Entry Group,xbrli:stringItemType,,0..1,ID for a batch for this group of entries,gl-bus,gl-bus:batchID,仕訳グループ識別子,この仕訳の集合に付ける、束の識別子。
404,2,Attribute,,Entry,Batch Description,xbrli:stringItemType,,0..1,Description of this batch,gl-bus,gl-bus:batchDescription,仕訳グループ説明,この仕訳の束の説明。
405,2,Attribute,,Entry,Number of Entries,xbrli:integerItemType,,0..1,The total number of entries.,gl-bus,gl-bus:numberOfEntries,仕訳総数,仕訳の総数。
406,2,Attribute,,Entry,Total Debits,xbrli:monetaryItemType,,0..1,The total of all debit amounts.,gl-bus,gl-bus:totalDebit,借方合計,借方金額の合計値。
407,2,Attribute,,Entry,Total Credits,xbrli:monetaryItemType,,0..1,The total of all credit amounts.,gl-bus,gl-bus:totalCredit,貸方合計,貸方金額の合計値。
408,2,Attribute,,Entry,Type of Difference Between Book and Tax,xbrli:tokenItemType,,0..1,"Enumerated field with possible values of permanent, temporary or none indicating the type of difference between book and tax accounting methods. Omission of this field is equivalent to ""none""",gl-cor,gl-cor:bookTaxDifference,帳簿価税務簿価差異種別,"帳簿と税務会計処理方法との差異の種別を示す値。永久か一時的かまたは無し。値の省略時は「無し」と同じ。
[設定値のリスト]
(permanent：永久)、(temporary：一時的)、(none：無し)"
409,2,Attribute,,Entry,Elimination Code,xbrli:stringItemType,,0..1,Informs destination ledger this is an intracompany entry which eliminates in consolidation,gl-bus,gl-bus:eliminationCode,相殺消去コード,連結決算時に消去される連結会社間仕訳であることを、受取側の元帳に通知する。
410,2,Attribute,,Entry,Budget Scenario Period Start,xbrli:dateTimeItemType,,0..1,Start of period covered by associated budgetScenario,gl-bus,gl-bus:budgetScenarioPeriodStart,予算シナリオ期間開始日付,関係付けられたbudgetScenarioがカバーする期間の開始日。
411,2,Attribute,,Entry,Budget Scenario Period End,xbrli:dateTimeItemType,,0..1,End of period covered by associated budgetScenario,gl-bus,gl-bus:budgetScenarioPeriodEnd,予算シナリオ期間終了日付,関係付けられたbudgetScenarioがカバーする期間の終了日。
412,2,Attribute,,Entry,Scenario Description,xbrli:stringItemType,,0..1,Text related to budgetScenario,gl-bus,gl-bus:budgetScenarioText,シナリオ説明,budgetScenarioに関する記述。
413,2,Attribute,,Entry,Scenario Code,xbrli:stringItemType,,0..1,"Code for a budget scenario identifier (such as PB for 'preliminary budget', or RB for 'revised budget', or other identifier for entryType)",gl-bus,gl-bus:budgetScenario,シナリオコード,予算シナリオの識別コード。例えば、「PB」（予備予算）、「RB」（補正予算）、または他の仕訳種別の識別子。
414,2,Attribute,,Entry,Budget Allocation Code,xbrli:tokenItemType,,0..1,"Code associated with the calculation formula: e.g. (D)ivide by number of periods, (T)otal for period given",gl-bus,gl-bus:budgetAllocationCode,予算配分コード,"計算式に関係付けられたコード。例えば、期間数での分割、与えられた期間の合計
[設定値のリスト]
(D：期間数での分割)、(T：与えられた期間の合計)"
415,2,Attribute,,Entry,"ID for Reversing, Standard or Master Entry",xbrli:stringItemType,,0..1,"For standard, reversing, master, cancelling or other entries an ID associated with those entries.",gl-usk,gl-usk:reversingStdId,反対/通常/マスタ仕訳識別子,通常、反対、マスタ、取消または他の仕訳のための、それらの仕訳を関連付けるID。
416,2,Attribute,,Entry,Recurring Standard Description,xbrli:stringItemType,,0..1,Description to accompany standard or recurring ID,gl-usk,gl-usk:recurringStdDescription,反復通常仕訳説明,通常仕訳または反復仕訳のIDの説明。
417,2,Attribute,,Entry,Frequency Interval,xbrli:decimalItemType,,0..1,"For standard or recurring journals, how often entry may be made: every frequencyInterval frequencyUnit, such as every 7 (interval) days (unit) or every 1 (interval) quarter (unit). This field represents the interval.",gl-usk,gl-usk:frequencyInterval,頻度間隔,通常または反復仕訳において、仕訳が記入される頻度。frequencyInterval、frequencyUnitごと、たとえば7(interval)日(unit)ごと、1(interval)四半期(unit)ごとなどにおける、intervalを示す。
418,2,Attribute,,Entry,Frequency Unit,xbrli:stringItemType,,0..1,"For standard or recurring journals, how often entry may be made: every frequencyInterval frequencyUnit, such as every 7 (interval) days (unit) or every 1 (interval) quarter (unit). This field represents the unit.",gl-usk,gl-usk:frequencyUnit,頻度単位,通常または反復仕訳において、仕訳が記入される頻度。frequencyInterval、frequencyUnitごと、たとえば7(interval)日(unit)ごと、1(interval)四半期(unit)ごとなどにおける、unitを示す。
419,2,Attribute,,Entry,Repetitions Remaining,xbrli:integerItemType,,0..1,Number of times that the recurring entry will repeat,gl-usk,gl-usk:repetitionsRemaining,反復残回数,反復仕訳の繰り返し予定数。
420,2,Attribute,,Entry,Next Date Repeat,xbrli:dateTimeItemType,,0..1,Date next repeated or standard posted,gl-usk,gl-usk:nextDateRepeat,次回反復日付,次回の反復あるいは通常の転記日。
421,2,Attribute,,Entry,Last Date Repeat,xbrli:dateTimeItemType,,0..1,Date last repeated or standard posted,gl-usk,gl-usk:lastDateRepeat,前回反復日付,前回の反復あるいは通常の転記日。
422,2,Attribute,,Entry,End Date of Repeating Entry,xbrli:dateTimeItemType,,0..1,"For standard or recurring journals, stop date/time for repetitive entry.",gl-usk,gl-usk:endDateRepeatingEntry,反復仕訳終了日付,通常仕訳または反復仕訳のための、反復入力の終了日付/時刻。
423,2,Attribute,,Entry,Reverse,xbrli:booleanItemType,,0..1,Should entry be reversed?,gl-usk,gl-usk:reverse,反対仕訳要否,仕訳が取り消されるべきか。
424,2,Attribute,,Entry,Reversing Date,xbrli:dateTimeItemType,,0..1,Date this entry should be reversed,gl-usk,gl-usk:reversingDate,反対仕訳日付,この仕訳が取り消されるべき日付。
425,2,Attribute,,Entry,Entry Number Counter,xbrli:decimalItemType,,0..1,Unique reference for the entry - a numeric counter,gl-cor,gl-cor:entryNumberCounter,仕訳番号カウンタ,仕訳の一意なリファレンス　　カウンタ
426,2,Composition,,Entry,,,Entry Detail,0..*,Parent for entry detail,gl-cor,,【仕訳明細】,仕訳明細の親タグ。
427,1,Class,,Accounting Entries,,,,1..*,Root for XBRL GL. No entry made here.,gl-cor,gl-cor:accountingEntries,【会計仕訳】,XBRL GLのルート要素。 この要素にはデータは登録されない。
428,2,Composition,,Accounting Entries,,,Document,1..1,Parent for descriptive information about the accountingEntries Structure in which it is contained.,gl-cor,,【文書情報】,この会計仕訳に関する情報の親タグ。
429,2,Composition,,Accounting Entries,,,Entity,0..1,Holder for entity information - information about the reporting organization.,gl-cor,,【事業体情報】,事業体情報（報告組織に関する情報）の入れ物。
430,2,Composition,,Accounting Entries,,,Entry,0..*,Parent for entry headers/journal entry headers.,gl-cor,,【仕訳情報】,エントリヘッダー/仕訳記入ヘッダーの親タグ。
431,1,Class,,Summary Reporting Taxonomies,,,,0..*,Identifies and provides information about one or more target reporting taxonomies to which the data represented in the document rolls up to.,gl-srcd,gl-srcd:summaryReportingTaxonomies,【集約報告タクソノミ】,この文書で示されたデータのロールアップ先となる、1つ以上の報告タクソノミの情報を、識別し提供する。
432,2,Attribute,,Summary Reporting Taxonomies,Summary Reporting Taxonomy ID,xbrli:stringItemType,,0..1,"Identifies a target reporting taxonomy so that, for example, it can be referenced in the [summaryReportingTaxonomyIDRef] data field at [xbrlInfo] level.",gl-srcd,gl-srcd:summaryReportingTaxonomyID,集約報告タクソノミ識別子,たとえばxbrlInfo内のsummaryReportingTaxonomyIDRefで参照できるように、報告タクソノミを識別する。
433,2,Attribute,,Summary Reporting Taxonomies,Summary Reporting Taxonomy Schema Reference Href Attribute,xbrli:stringItemType,,0..1,Value of the href attribute of schemaRef in the target reporting taxonomy.,gl-srcd,gl-srcd:summaryReportingTaxonomySchemaRefHref,集約報告タクソノミスキーマ参照情報,報告タクソノミ内の、schemaRef要素のhref属性の値。
434,2,Attribute,,Summary Reporting Taxonomies,Summary Reporting Taxonomy Header,xbrli:stringItemType,,0..1,An all-purpose data field where all the information necessary when it is too complex to be defined otherwise.,gl-srcd,gl-srcd:summaryReportingTaxonomyHeader,集約報告タクソノミヘッダ,必要なすべての情報が、複雑すぎて他の方法では定義できないときに、それらを記述する汎用的なデータ域。
435,2,Attribute,,Summary Reporting Taxonomies,Summary Reporting Taxonomy Description,xbrli:stringItemType,,0..1,A description of the taxonomy for human use.,gl-srcd,gl-srcd:summaryReportingTaxonomyDescription,集約報告タクソノミ説明,人が利用するための、タクソノミの説明文。
436,1,Class,,Rich Text Comment,,,,0..*,"Accepts text in rich text format, including XHTML. It can be used for different purposes, such as to create footnotes in XBRL instances or to create a comment for a document or an entry.",gl-srcd,gl-srcd:richTextComment,【リッチテキストコメント】,XHTMLを含む、リッチテキスト形式のテキストを受け入れる。XBRLインスタンスのフットノートの生成や、文書や伝票のコメントの生成などの、さまざまな目的で利用可能。
437,2,Attribute,,Rich Text Comment,Rich Text Comment Code,xbrli:stringItemType,,0..1,"An enumerated code that identifies the purpose of the rich text comment. Enumerated values: link_footnote, footnote, source_document, source_journal, batch, other.",gl-srcd,gl-srcd:richTextCommentCode,リッチテキストコメントコード,"リッチテキストコメントの用途を識別する、列挙コード。
[設定値のリスト]
link_footnote：リンクフットノート、footnote：フットノート、source_document：元文書、source_journal：元仕訳帳、batch：仕訳の束、other：その他"
438,2,Attribute,,Rich Text Comment,Rich Text Comment Description,xbrli:stringItemType,,0..1,Free format description of the Rich text Comment Code.,gl-srcd,gl-srcd:richTextCommentDescription,リッチテキストコメント説明,リッチテキストコメントコードの説明。
439,2,Attribute,,Rich Text Comment,Rich Text Comment Content,xbrli:stringItemType,,0..1,Content of the Rich Text Comment.,gl-srcd,gl-srcd:richTextCommentContent,リッチテキストコメント内容,リッチテキストコメントの内容。
440,2,Attribute,,Rich Text Comment,Rich Text Comment Locator,xbrli:stringItemType,,0..1,An XPath expression that identifies the item that the comment relates to.,gl-srcd,gl-srcd:richTextCommentLocator,リッチテキストコメントロケータ,コメントが関係する項目を識別する、XPath表現。
441,1,Class,,Summary Segment Explicit Dimension,,,,0..*,This structure allows to explicitly indicate the information related to an explicit dimension in the segment of the context for a fact in the FR instance.,gl-srcd,gl-srcd:summarySegmentExplicitDimension,【集約セグメントエクスプリシットディメンション】,集約セグメントのエクスプリシットディメンションの記述の指定場所。
442,2,Attribute,,Summary Segment Explicit Dimension,Summary Segment Explicit Dimension Element,xbrli:QNameItemType,,1..1,The QName value must be resolved to a valid explicit dimension item used in segment.,gl-srcd,gl-srcd:summarySegmentExplicitDimensionElement,集約セグメントエクスプリシットディメンション,セグメントで利用されるQNameの値は妥当なエクプリシットディメンション項目を示さなければならない。
443,1,Class,,Summary Segment Typed Dimension,,,,0..*,This structure allows to explicitly indicate the information related to a typed dimension in the segment of the context for a fact in the FR instance.,gl-srcd,gl-srcd:summarySegmentTypedDimension,【集約セグメントタイプトディメンション】,集約セグメントのタイプトディメンションの記述の指定場所。
444,2,Attribute,,Summary Segment Typed Dimension,Summary Segment Typed Dimension Element,xbrli:QNameItemType,,1..1,The QName value must be resolved to a valid typed dimension item used in segment.,gl-srcd,gl-srcd:summarySegmentTypedDimensionElement,集約セグメントタイプトディメンション,セグメントで利用されるQNameの値は妥当なタイプトディメンション項目を示さなければならない。
445,1,Class,,Summary Segment Simple Element Content,,,,0..*,This structure allows to explicitly indicate the information related to a simple element in the segment of  the context for a fact in the FR instance.,gl-srcd,gl-srcd:summarySegmentSimpleElementContent,【集約セグメントシンプルエレメントコンテント】,セグメントの単一要素を表現するためのタプル。
446,2,Attribute,,Summary Segment Simple Element Content,Summary Segment Simple Element,xbrli:QNameItemType,,1..1,"QName for the segment simple element, if appropriate.",gl-srcd,gl-srcd:summarySegmentSimpleElementContentElement,集約セグメントシンプルエレメント名,集約セグメントシンプルエレメントの記述のQName
447,2,Attribute,,Summary Segment Simple Element Content,Summary Segment Simple Element Value,xbrli:stringItemType,,1..1,The value of the segment simple element content.,gl-srcd,gl-srcd:summarySegmentSimpleElementValue,集約セグメントシンプルエレメント値,集約セグメントシンプルエレメントの値。
448,1,Class,,Summary Precision Decimals (choice),,,,0..1,This structure allows to explicitly indicate the value for the precision or decimals attributes for a fact in an FR instance. Only one of the four elements in the structure has to be used.,gl-srcd,gl-srcd:summaryPrecisionDecimals,【集約有効桁数】,集約の有効桁数と小数部有効桁数の記述の指定場所。
449,2,Attribute,,Summary Precision Decimals (choice),Summary Precision,xbrli:nonNegativeIntegerItemType,,1..1,This item indicates that the fact in the FR instance has a precision attribute with the value specified in this item value.,gl-srcd,gl-srcd:summaryPrecision,集約有効桁数,集約の有効桁数の記述の指定場所。
450,2,Attribute,,Summary Precision Decimals (choice),Summary Precision INF,xbrli:stringItemType,,1..1,"This item, when used, has no value. Its only presence indicates that the fact in the FR instance  has a precision attribute  and its value is INF.",gl-srcd,gl-srcd:summaryPrecisionINF,集約有効桁数無限,F/Sが、有効桁数属性を持っており、その値がINF(無限大)であること示す。
451,2,Attribute,,Summary Precision Decimals (choice),Summary Decimals,xbrli:integerItemType,,1..1,This item indicates that the fact in the FR instance has a decimals attribute with the value specified in this item value.,gl-srcd,gl-srcd:summaryDecimals,集約小数部有効桁数,F/Sが、ここで指定する値の小数部有効桁数属性を持っていることを示す。
452,2,Attribute,,Summary Precision Decimals (choice),Summary Decimals INF,xbrli:stringItemType,,1..1,"This item, when used, has no value. Its only presence indicates that the fact in the FR instance  has a decimals attribute  and its value is INF.",gl-srcd,gl-srcd:summaryDecimalsINF,集約小数部有効桁数無限,F/Sが、小数部有効桁数属性を持っており、その値がINF(無限大)であることを示す。
453,1,Class,,Summary Entity Segment,,,,0..1,This structure allows to explicitly indicate the information related to the segment in the context for a fact in the FR instance.,gl-srcd,gl-srcd:summarySegment,【集約エンティティセグメント】,集約のエンティティセグメントの記述の指定場所。
454,2,Composition,,Summary Entity Segment,,,Summary Segment Explicit Dimension,0..*,This structure allows to explicitly indicate the information related to an explicit dimension in the segment of the context for a fact in the FR instance.,gl-srcd,gl-srcd:summarySegmentExplicitDimension,【集約セグメントエクスプリシットディメンション】,集約セグメントのエクスプリシットディメンションの記述の指定場所。
455,2,Composition,,Summary Entity Segment,,,Summary Segment Typed Dimension,0..*,This structure allows to explicitly indicate the information related to a typed dimension in the segment of the context for a fact in the FR instance.,gl-srcd,gl-srcd:summarySegmentTypedDimension,【集約セグメントタイプトディメンション】,集約セグメントのタイプトディメンションの記述の指定場所。
456,2,Composition,,Summary Entity Segment,,,Summary Segment Simple Element Content,0..*,This structure allows to explicitly indicate the information related to a simple element in the segment of  the context for a fact in the FR instance.,gl-srcd,gl-srcd:summarySegmentSimpleElementContent,【集約セグメントシンプルエレメントコンテント】,セグメントの単一要素を表現するためのタプル。
457,2,Attribute,,Summary Entity Segment,Summary Segment Non Dimensional Contents,xbrli:stringItemType,,0..*,The value must be CDATA and a valid XML fragment.,gl-srcd,gl-srcd:summarySegmentContents,集約セグメント非ディメンションコンテント,CDATAであり、妥当なXML記述でなければならない。
458,1,Class,,Summary Scenario Explicit Dimension,,,,0..*,This structure allows to explicitly indicate the information related to an explicit dimension in the scenario of the context for a fact in the FR instance.,gl-srcd,gl-srcd:summaryScenarioExplicitDimension,【集約シナリオエクスプリシットディメンション】,集約シナリオのエクスプリシットディメンションの記述の指定場所。
459,2,Attribute,,Summary Scenario Explicit Dimension,Summary Scenario Explicit Dimension Element,xbrli:QNameItemType,,1..1,The QName value must be resolved to a valid explicit dimension item used in scenario.,gl-srcd,gl-srcd:summaryScenarioExplicitDimensionElement,集約シナリオエクスプリシットディメンション,シナリオで利用されるQNameの値は妥当なエクプリシットディメンション項目を示さなければならない。
460,1,Class,,Summary Scenario Typed Dimension,,,,0..*,This structure allows to explicitly indicate the information related to a typed dimension in the scenario of the context for a fact in the FR instance.,gl-srcd,gl-srcd:summaryScenarioTypedDimension,【集約シナリオタイプトディメンション】,集約シナリオのタイプトディメンションの記述の指定場所。
461,2,Attribute,,Summary Scenario Typed Dimension,Summary Scenario Typed Dimension Element,xbrli:QNameItemType,,1..1,The QName value must be resolved to a valid typed dimension item used in scenario.,gl-srcd,gl-srcd:summaryScenarioTypedDimensionElement,集約シナリオタイプトディメンション,シナリオで利用されるQNameの値は妥当なタイプトディメンション項目を示さなければならない。
462,1,Class,,Summary Scenario Simple Element Content,,,,0..*,This structure allows to explicitly indicate the information related to a simple element in the scenario of the context for a fact in the FR instance.,gl-srcd,gl-srcd:summaryScenarioSimpleElementContent,【集約シナリオシンプルエレメントコンテント】,シナリオの単一要素を表現するためのタプル。
463,2,Attribute,,Summary Scenario Simple Element Content,Summary Scenario Simple Element,xbrli:QNameItemType,,1..1,"QName for the scenario simple element, if appropriate.",gl-srcd,gl-srcd:summaryScenarioSimpleElementContentElement,集約シナリオシンプルエレメント名,集約シナリオシンプルエレメントの記述のQName
464,2,Attribute,,Summary Scenario Simple Element Content,Summary Scenario Simple Element Value,xbrli:stringItemType,,1..1,The value of the scenario simple element content.,gl-srcd,gl-srcd:summaryScenarioSimpleElementValue,集約シナリオシンプルエレメント値,集約シナリオシンプルエレメントの値。
465,1,Class,,Summary Entity,,,,0..1,This structure allows to explicitly indicate the entity information for a fact in the FR instance.,gl-srcd,gl-srcd:summaryEntity,【集約エンティティ】,集約のエンティティの記述の指定場所。
466,2,Attribute,,Summary Entity,Summary Entity Identifier,xbrli:tokenItemType,,0..1,The value of the entity identifier.,gl-srcd,gl-srcd:summaryIdentifier,集約エンティティ識別子,集約のエンティティ識別子の記述の指定場所。
467,2,Attribute,,Summary Entity,Summary Entity Scheme,xbrli:anyURIItemType,,0..1,The value of the entity scheme.,gl-srcd,gl-srcd:summaryScheme,集約エンティティスキーム,集約のエンティティスキームの記述の指定場所。
468,2,Composition,,Summary Entity,,,Summary Entity Segment,0..1,This structure allows to explicitly indicate the information related to the segment in the context for a fact in the FR instance.,gl-srcd,gl-srcd:summarySegment,【集約エンティティセグメント】,集約のエンティティセグメントの記述の指定場所。
469,1,Class,,Summary Period (choice),,,,0..1,"This structure allows to explicitly indicate the period information for a fact in the FR instance. Instant, Period Start/End and Forever are alternative.",gl-srcd,gl-srcd:summaryPeriod,【集約ピリオド】,集約のピリオドの記述の指定場所。
470,2,Attribute,,Summary Period (choice),Summary Period Instant,xbrli:dateTimeItemType,,1..1,The value of the instant date.,gl-srcd,gl-srcd:summaryInstant,集約ピリオドインスタント,集約のピリオドの特定の日付の記述の指定場所。
471,2,Attribute,,Summary Period (choice),Summary Period Forever,xbrli:stringItemType,,1..1,"If the context should indicate ""forever"", this concept must be used. It accepts no value.",gl-srcd,gl-srcd:summaryForever,集約ピリオド無期限,集約のピリオドが無期限であることを示す指定場所。
472,1,Class,,Summary Scenario,,,,0..1,This structure allows to explicitly indicate the scenario information for a fact in the FR instance.,gl-srcd,gl-srcd:summaryScenario,【集約シナリオ】,集約のシナリオの記述の指定場所。
473,2,Composition,,Summary Scenario,,,Summary Scenario Explicit Dimension,0..*,This structure allows to explicitly indicate the information related to an explicit dimension in the scenario of the context for a fact in the FR instance.,gl-srcd,gl-srcd:summaryScenarioExplicitDimension,【集約シナリオエクスプリシットディメンション】,集約シナリオのエクスプリシットディメンションの記述の指定場所。
474,2,Composition,,Summary Scenario,,,Summary Scenario Typed Dimension,0..*,This structure allows to explicitly indicate the information related to a typed dimension in the scenario of the context for a fact in the FR instance.,gl-srcd,gl-srcd:summaryScenarioTypedDimension,【集約シナリオタイプトディメンション】,集約シナリオのタイプトディメンションの記述の指定場所。
475,2,Composition,,Summary Scenario,,,Summary Scenario Simple Element Content,0..*,This structure allows to explicitly indicate the information related to a simple element in the scenario of the context for a fact in the FR instance.,gl-srcd,gl-srcd:summaryScenarioSimpleElementContent,【集約シナリオシンプルエレメントコンテント】,シナリオの単一要素を表現するためのタプル。
476,2,Attribute,,Summary Scenario,Summary Scenaio Non Dimensional Contents,xbrli:stringItemType,,0..*,The value must be CDATA and a valid XML fragment.,gl-srcd,gl-srcd:summaryScenarioContents,集約シナリオ非ディメンションコンテント,CDATAであり、妥当なXML記述でなければならない。
477,1,Class,,Summary Context,,,,0..1,This structure allows to explicitly indicate the context information for a fact in the FR instance.,gl-srcd,gl-srcd:summaryContext,【集約コンテキスト】,集約のコンテキストの記述の指定場所。
478,2,Composition,,Summary Context,,,Summary Entity,0..1,This structure allows to explicitly indicate the entity information for a fact in the FR instance.,gl-srcd,gl-srcd:summaryEntity,【集約エンティティ】,集約のエンティティの記述の指定場所。
479,2,Composition,,Summary Context,,,Summary Period (choice),0..1,"This structure allows to explicitly indicate the period information for a fact in the FR instance. Instant, Period Start/End and Forever are alternative.",gl-srcd,gl-srcd:summaryPeriod,【集約ピリオド】,集約のピリオドの記述の指定場所。
480,2,Composition,,Summary Context,,,Summary Scenario,0..1,This structure allows to explicitly indicate the scenario information for a fact in the FR instance.,gl-srcd,gl-srcd:summaryScenario,【集約シナリオ】,集約のシナリオの記述の指定場所。
