sequence,level,property_type,identifier,class_term,property_term,representation_term,associated_class,multiplicity,definition,acronym,DEN,version
140,2,Attribute,,Document Context_ Parameter,Value,Text,,0..1,"The value, expressed as text, of this document context parameter.",BBIE,Document Context_ Parameter. Value. Text,January 2017
141,2,Composition,,Document Context_ Parameter,Specified,,Document_ Version,0..1,The document version specified for this document context parameter.,ASBIE,Document Context_ Parameter. Specified. Document_ Version,January 2017
142,1,Class,,Document Line_ Document,,,,,"A collection of data for a line on a piece of written, printed or electronic matter that provides information or evidence.",ABIE,Document Line_ Document. Details,January 2017
143,2,Attribute,,Document Line_ Document,Line,Identifier,,0..1,The unique identifier of this document line.,BBIE,Document Line_ Document. Line. Identifier,January 2017
144,2,Attribute,,Document Line_ Document,Parent_ Line,Identifier,,0..1,The unique identifier of the parent line to this document line.,BBIE,Document Line_ Document. Parent_ Line. Identifier,January 2017
145,2,Attribute,,Document Line_ Document,Line Status,Code,,0..1,The code specifying the status of this document line.,BBIE,Document Line_ Document. Line Status. Code,January 2017
146,2,Attribute,,Document Line_ Document,Line Status Reason,Code,,0..1,The code specifying the line status reason for this document line.,BBIE,Document Line_ Document. Line Status Reason. Code,January 2017
147,2,Composition,,Document Line_ Document,Included,,Note,0..n,A note included in this document line.,ASBIE,Document Line_ Document. Included. Note,January 2017
148,1,Class,,Document_ Version,,,,,A specific variant of a document.,ABIE,Document_ Version. Details,January 2017
149,2,Attribute,,Document_ Version,Identification,Identifier,,0..1,The unique identifier for this document version.,BBIE,Document_ Version. Identification. Identifier,January 2017
150,2,Attribute,,Document_ Version,Name,Text,,0..1,"The name, expressed as text, of this document version.",BBIE,Document_ Version. Name. Text,January 2017
151,2,Attribute,,Document_ Version,Issue,Date Time,,0..1,"The date, time, date and time or other date time value of issue of this document version.",BBIE,Document_ Version. Issue. Date Time,January 2017
152,1,Class,,Exchanged Document_ Context,,,,,"The scenario or setting of an exchanged document, such as its business process application context.",ABIE,Exchanged Document_ Context. Details,January 2017
153,2,Attribute,,Exchanged Document_ Context,Specified_ Transaction,Identifier,,0..1,The identifier of a specified transaction in this exchanged document context.,BBIE,Exchanged Document_ Context. Specified_ Transaction. Identifier,January 2017
154,2,Attribute,,Exchanged Document_ Context,Test,Indicator,,0..1,The indication of whether or not this exchanged document context is a test.,BBIE,Exchanged Document_ Context. Test. Indicator,January 2017
155,2,Composition,,Exchanged Document_ Context,Business Process_ Specified,,Document Context_ Parameter,0..n,A business process context parameter specified for this exchanged document context.,ASBIE,Exchanged Document_ Context. Business Process_ Specified. Document Context_ Parameter,January 2017
156,2,Composition,,Exchanged Document_ Context,BIM_ Specified,,Document Context_ Parameter,0..n,A Business Information Master (BIM) context parameter specified for this exchanged document context.,ASBIE,Exchanged Document_ Context. BIM_ Specified. Document Context_ Parameter,January 2017
157,2,Composition,,Exchanged Document_ Context,Scenario_ Specified,,Document Context_ Parameter,0..n,A scenario context parameter specified for this exchanged document context.,ASBIE,Exchanged Document_ Context. Scenario_ Specified. Document Context_ Parameter,January 2017
158,2,Composition,,Exchanged Document_ Context,Application_ Specified,,Document Context_ Parameter,0..n,An application context parameter specified for this exchanged document context.,ASBIE,Exchanged Document_ Context. Application_ Specified. Document Context_ Parameter,January 2017
159,2,Composition,,Exchanged Document_ Context,Guideline_ Specified,,Document Context_ Parameter,0..n,A guideline context parameter specified for this exchanged document context.,ASBIE,Exchanged Document_ Context. Guideline_ Specified. Document Context_ Parameter,January 2017
160,2,Composition,,Exchanged Document_ Context,Subset_ Specified,,Document Context_ Parameter,0..n,A subset context parameter specified for this exchanged document context.,ASBIE,Exchanged Document_ Context. Subset_ Specified. Document Context_ Parameter,January 2017
161,2,Composition,,Exchanged Document_ Context,Message Standard_ Specified,,Document Context_ Parameter,0..1,The message standard document context parameter specified for this exchanged document context.,ASBIE,Exchanged Document_ Context. Message Standard_ Specified. Document Context_ Parameter,January 2017
162,1,Class,,Exchanged_ Document,,,,,"A collection of data for a piece of written, printed or electronic matter that is exchanged between two or more parties.",ABIE,Exchanged_ Document. Details,January 2017
163,2,Attribute,,Exchanged_ Document,Identification,Identifier,,1..1,The unique identifier of this exchanged document.,BBIE,Exchanged_ Document. Identification. Identifier,January 2017
164,2,Attribute,,Exchanged_ Document,Name,Text,,0..n,"A name, expressed as text, of this exchanged document.",BBIE,Exchanged_ Document. Name. Text,January 2017
165,2,Attribute,,Exchanged_ Document,Type,Code,,0..1,The code specifying the type of exchanged document.,BBIE,Exchanged_ Document. Type. Code,January 2017
166,2,Attribute,,Exchanged_ Document,Issue,Date Time,,1..1,"The date, time, date time or other date time value for the issuance of this exchanged document.",BBIE,Exchanged_ Document. Issue. Date Time,January 2017
167,2,Attribute,,Exchanged_ Document,Copy,Indicator,,0..1,The indication of whether or not this exchanged document is a copy.,BBIE,Exchanged_ Document. Copy. Indicator,January 2017
168,2,Attribute,,Exchanged_ Document,Purpose,Text,,0..1,"The purpose, expressed as text, of this exchanged document.",BBIE,Exchanged_ Document. Purpose. Text,January 2017
169,2,Attribute,,Exchanged_ Document,Control Requirement,Indicator,,0..1,The indication of whether or not this exchanged document has specific control requirements.,BBIE,Exchanged_ Document. Control Requirement. Indicator,January 2017
170,2,Attribute,,Exchanged_ Document,Language,Identifier,,0..n,A unique identifier for a language used in this exchanged document.,BBIE,Exchanged_ Document. Language. Identifier,January 2017
171,2,Attribute,,Exchanged_ Document,Purpose,Code,,0..1,"A code specifying the purpose of this exchanged document, such as request or reminder.",BBIE,Exchanged_ Document. Purpose. Code,January 2017
172,2,Attribute,,Exchanged_ Document,Revision,Date Time,,0..1,"The date, time, date time or other date time value for the revision of this exchanged document.",BBIE,Exchanged_ Document. Revision. Date Time,January 2017
173,2,Attribute,,Exchanged_ Document,Version_ Identification,Identifier,,0..1,The unique identifier for the version of this exchanged document.,BBIE,Exchanged_ Document. Version_ Identification. Identifier,January 2017
174,2,Attribute,,Exchanged_ Document,Global_ Identification,Identifier,,0..1,The unique global identifier for this exchanged document.,BBIE,Exchanged_ Document. Global_ Identification. Identifier,January 2017
175,2,Attribute,,Exchanged_ Document,Revision_ Identification,Identifier,,0..1,The unique identifier of the revision of this exchanged document.,BBIE,Exchanged_ Document. Revision_ Identification. Identifier,January 2017
176,2,Attribute,,Exchanged_ Document,Previous Revision_ Identification,Identifier,,0..1,The unique identifier of the previous revision of this exchanged document.,BBIE,Exchanged_ Document. Previous Revision_ Identification. Identifier,January 2017
177,2,Attribute,,Exchanged_ Document,Category,Code,,0..1,The code specifying a category for this exchanged document.,BBIE,Exchanged_ Document. Category. Code,January 2017
178,2,Composition,,Exchanged_ Document,Included,,Note,0..n,A note included in this exchanged document.,ASBIE,Exchanged_ Document. Included. Note,January 2017
179,2,Composition,,Exchanged_ Document,Effective,,Specified_ Period,0..1,The specified period within which this exchanged document is effective.,ASBIE,Exchanged_ Document. Effective. Specified_ Period,January 2017
180,2,Composition,,Exchanged_ Document,Issuer,,Trade_ Party,0..1,The party that issues this exchanged document.,ASBIE,Exchanged_ Document. Issuer. Trade_ Party,January 2017
181,1,Class,,Financial Institution_ Address,,,,,The location at which a financial institution may be found or reached.,ABIE,Financial Institution_ Address. Details,January 2017
182,2,Attribute,,Financial Institution_ Address,Postcode,Code,,0..1,The code specifying the postcode for this financial institution address.,BBIE,Financial Institution_ Address. Postcode. Code,January 2017
183,2,Attribute,,Financial Institution_ Address,Building Number,Text,,0..1,"The number, expressed as text, of the building on a street for this financial institution address.",BBIE,Financial Institution_ Address. Building Number. Text,January 2017
184,2,Attribute,,Financial Institution_ Address,Line One,Text,,0..1,"The first free form line, expressed as text, of this financial institution address.",BBIE,Financial Institution_ Address. Line One. Text,January 2017
185,2,Attribute,,Financial Institution_ Address,Line Two,Text,,0..1,"The second free form line, expressed as text, of this financial institution address.",BBIE,Financial Institution_ Address. Line Two. Text,January 2017
186,2,Attribute,,Financial Institution_ Address,Line Three,Text,,0..1,"The third free form line, expressed as text, of this financial institution address.",BBIE,Financial Institution_ Address. Line Three. Text,January 2017
187,2,Attribute,,Financial Institution_ Address,Line Four,Text,,0..1,"The fourth free form line, expressed as text, of this financial institution address.",BBIE,Financial Institution_ Address. Line Four. Text,January 2017
188,2,Attribute,,Financial Institution_ Address,Line Five,Text,,0..1,"The fifth free form line, expressed as text, of this financial institution address.",BBIE,Financial Institution_ Address. Line Five. Text,January 2017
189,2,Attribute,,Financial Institution_ Address,Street Name,Text,,0..1,"The name, expressed as text, of the street or thoroughfare for this financial institution address.",BBIE,Financial Institution_ Address. Street Name. Text,January 2017
190,2,Attribute,,Financial Institution_ Address,City Name,Text,,0..1,"The name, expressed as text, of the city, town or village of this financial institution address.",BBIE,Financial Institution_ Address. City Name. Text,January 2017
191,2,Attribute,,Financial Institution_ Address,Country Sub-Division,Identifier,,0..1,The unique identifier of a country sub-division for this financial institution address (Reference ISO 3166 and UN/ECE Rec 3).,BBIE,Financial Institution_ Address. Country Sub-Division. Identifier,January 2017
192,2,Attribute,,Financial Institution_ Address,Country,Identifier,,0..1,The unique identifier of a country for this financial institution address (Reference ISO 3166 and UN/ECE Rec 3).,BBIE,Financial Institution_ Address. Country. Identifier,January 2017
193,2,Attribute,,Financial Institution_ Address,Type,Code,,0..1,The code specifying the type of financial institution address.,BBIE,Financial Institution_ Address. Type. Code,January 2017
194,2,Attribute,,Financial Institution_ Address,Department Name,Text,,0..1,"The name, expressed as text, of a department within this financial institution address.",BBIE,Financial Institution_ Address. Department Name. Text,January 2017
