sequence,group,UNID,acronym,name1,name2,name3,name4,name5,name6,name7,name8,name9,name10,name11,name12,name13,name14,label_local,definition_local,multiplicity,example,version,code_list,attribute,issueing_agency,input,value,selfbilling_statement,self_billing,selfbilling_exception,journal_entry,ver1,AH,JPPINT_ID,business_term,cardinality,,,,,,,,,,,,,,,,,,,,,,
328,明細部,UN01005707,BBIE,,,,,,,,,,CI_ Trade_ Allowance Charge. Charge. Indicator,,,,,"明細行返金・追加請求判別子
    =追加請求（Charge）","明細行返金・追加請求判別子
    =True (Charge)",1..1,,v4.1,JECxxxx,,JEC,"判別子
固定入力",,,,●,●,　,, ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
329,明細部,UN01005713,BBIE,,,,,,,,,,CI_ Trade_ Allowance Charge. Actual. Amount,,,,,明細行追加請求金額,この明細行に紐付く追加請求金額。,0..1,,v4.1,,,, ,,,,＊,＊,　,,★,,IBT-141,? ?  Invoice line charge amount,1..1,,,,,,,,,,,,,,,,,,,,
330,明細部,UN01005714,BBIE,,,,,,,,,,CI_ Trade_ Allowance Charge. Reason. Code,,,,,明細行追加請求理由コード,この明細行の追加請求理由を識別するコード,0..1,,v4.1,UNCL5189,,UN/CEFACT, ,,,,＊,＊,　,,★,,IBT-145,? ?  Invoice line charge reason code,0..1,,,,,,,,,,,,,,,,,,,,
331,明細部,UN01005715,BBIE,,,,,,,,,,CI_ Trade_ Allowance Charge. Reason. Text,,,,,明細行追加請求理由,この明細行の追加請求理由（内容）の説明,0..1,,v4.1,,,, ,,,,＊,＊,　,,★,,IBT-144,? ?  Invoice line charge reason,0..1,,,,,,,,,,,,,,,,,,,,
332,明細部,UN01005716,ASBIE,,,,,,,,,,CI_ Trade_ Allowance Charge. Category. CI_ Trade_ Tax,,,,,明細行追加請求／明細行追加請求税グループ,明細行追加請求の税に関するグループ,0..n,,v4, ,, , ,,,,＊,＊,　,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
333,明細部,UN01005832,ABIE,,,,,,,,,,,CI_ Trade_ Tax. Details,,,,明細行追加請求税クラス,明細行追加請求の税クラス,－,,v4, ,, , ,,,,＊,＊, ,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
334,明細部,UN01005841,BBIE,,,,,,,,,,,,CI_ Trade_ Tax. Category. Code,,,明細行追加請求課税分類コード,明細行追加請求の課税分類コード,1..1,,v4,UNCL5305,,UN/CEFACT,"コード値
選択入力",,,,＊,＊,　,,★,,IBT-096,?  Document level allowance TAX rate,0..1,,,,,,,,,,,,,,,,,,,,
335,明細部,UN01007174,BBIE,,,,,,,,,,,,CI_ Trade_ Tax. Rate_ Applicable. Percent,,,明細行追加請求税率,明細行追加請求の税率,0..1,,v4, ,, , ,,,,＊,＊,　,,★,,IBT-095,?  Document level allowance TAX category code,1..1,,,,,,,,,,,,,,,,,,,,
336,明細部,UN01014894,ASBIE,,,,,,,,CIILB_ Supply Chain_ Trade Settlement. Billing. CI_ Specified_ Period,,,,,,,明細行／取引期間グループ　,"明細行の取引期間に関する情報からなるグループ
明細文書ヘッダ、または明細行のいずれかの取引期間グループが法的必須
明細文書ヘッダ取引期間グループにデータ入力した場合は明細行取引期間グループのデータ入力は省略することができる",1..1,,v4, ,, ,,,,＊,○,○,○,,★,,IBG-26,?  INVOICE LINE PERIOD,0..1,,,,,,,,,,,,,,,,,,,,
337,明細部,UN01005608,ABIE,,,,,,,,,CI_ Specified_ Period. Details,,,,,,明細行取引期間クラス,明細行の取引期間に関する情報からなるクラス,－,,v4, ,, ,,,,　,　,　,　,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
338,明細部,UN01005612,BBIE,,,,,,,,,,CI_ Specified_ Period. Start. Date Time,,,,,明細行取引開始日,この明細行の取引開始日,0..1,,v4,,,,,,,＊,＊,＊,＊,,★,,IBT-134,? ?  Invoice line period start date,0..1,,,,,,,,,,,,,,,,,,,,
339,明細部,UN01005613,BBIE,,,,,,,,,,CI_ Specified_ Period. End. Date Time,,,,,明細行取引終了日,この明細行の取引終了日,0..1,,v4,,,,,,,＊,◎,＊,＊,※,★,1,IBT-135,? ?  Invoice line period end date,0..1,,,,,,,,,,,,,,,,,,,,
340,明細部,JPSxxxxxxxx,ASBIE,,,,,,,,CIILB_ Supply Chain_ Trade Settlement. Receivable_ Specified. CI_ Trade_ Accounting Account,,,,,,,明細行／会計アカウントグループ,この明細行の会計アカウントに関するグループ,0..1,,v4.3,,,,,,,▽,▽,▽,▽,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
341,ヘッダ部,UN01005680,ABIE,,,,,,,,,CI_ Trade_ Accounting Account. Details,,,,,,会計アカウントクラス,会計アカウントに関するクラス,－,,v4.3,,,,,,,  ,  ,  ,  ,  ,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
342,明細部,UN01005681,BBIE,,,,,,,,,,CI_ Trade_ Accounting Account. Identification. Identifier,,,,,明細行会計アカウントID,明細行会計アカウントのID,1..1,,v4.3,,,,,,,▽,▽,▽,▽,※,★,,IBT-133,？？Invoice line Buyer accounting reference,0..1,,,,,,,,,,,,,,,,,,,,
343,明細部,UN01005683,BBIE,,,,,,,,,,CI_ Trade_ Accounting Account. Type. Code,,,,,明細行会計アカウントタイプコード,明細行会計アカウントのタイプコード,0..1,,v4.3,,,,,,,▽,▽,▽,▽,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
344,明細部,UN01005685,BBIE,,,,,,,,,,CI_ Trade_ Accounting Account. Name. Text,,,,,明細行会計アカウント名,明細行会計アカウントの名称,0..1,,v4.3,,,,,,,▽,▽,▽,▽,,,,,,,,,,,,,,,,,,,,,,,,,,
345,明細部,UN01010016,ASBIE,,,,,,CIILB_ Subordinate_ Trade Line Item. Applicable. CI_ Trade_ Product,,,,,,,,,明細行／取引品目グループ,明細行の取引品目に関するグループ,1..1,,v1,,,,,,,＊,○,○,○,, ☆,,IBG-31,?  ITEM INFORMATION,1..1,,,,,,,,,,,,,,,,,,,,
346,明細部,UN01005809,ABIE,,,,,,,CI_ Trade_ Product. Details,,,,,,,,取引品目クラス,取引品目に関する情報からなるクラス。, -,,v1,,,,,,,　,　,　,　,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
347,明細部,UN01005810,BBIE,,,,,,,,CI_ Trade_ Product. Identification. Identifier,,,,,,,品目ID,品目名を特定するために付与したID,0..1,,v1,,,,,,,＊,＊,＊,＊,,★,,"IBT-155
IBT-156","? ?  Item Buyer's identifier
? ?  Item Buyer's identifier","0..1
0..1",,,,,,,,,,,,,,,,,,,,
348,明細部,UN01005815,BBIE,,,,,,,,CI_ Trade_ Product. Name. Text,,,,,,,品目名,この取引品目の名称。,1..1,,v1,,,,,,,＊,◎,○,○,※,☆,1,IBT-153,? ?  Item name,1..1,,,,,,,,,,,,,,,,,,,,
349,明細部,UN01005817,BBIE,,,,,,,,CI_ Trade_ Product. Description. Text,,,,,,,品目摘要,この取引品目内容を文字で説明したもの,0..1,,v1,,,,,,,＊,●,●,●,,★,,IBT-154,? ?  Item description,0..1,,,,,,,,,,,,,,,,,,,,
350,,,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
